--- JUEGO BASE (Sin Wilds, con Scatter) ---
Position;Reel 1;Reel 2;Reel 3;Reel 4;Reel 5
68;5 - High 1;10 - SCATTER (Base);4 - Low 4;4 - Low 4;1 - Low 1
69;5 - High 1;3 - Low 3;1 - Low 1;1 - Low 1;4 - Low 4
70;3 - Low 3;1 - Low 1;4 - Low 4;1 - Low 1;5 - High 1
71;2 - Low 2;4 - Low 4;3 - Low 3;3 - Low 3;8 - High 4
72;2 - Low 2;7 - High 3;4 - Low 4;3 - Low 3;3 - Low 3
73;4 - Low 4;2 - Low 2;5 - High 1;7 - High 3;7 - High 3
74;3 - Low 3;3 - Low 3;7 - High 3;7 - High 3;7 - High 3
75;2 - Low 2;5 - High 1;1 - Low 1;5 - High 1;1 - Low 1
76;1 - Low 1;2 - Low 2;5 - High 1;3 - Low 3;1 - Low 1
77;8 - High 4;5 - High 1;3 - Low 3;3 - Low 3;2 - Low 2
78;2 - Low 2;1 - Low 1;3 - Low 3;2 - Low 2;6 - High 2
79;3 - Low 3;3 - Low 3;2 - Low 2;8 - High 4;4 - Low 4
80;1 - Low 1;4 - Low 4;3 - Low 3;6 - High 2;5 - High 1
81;3 - Low 3;1 - Low 1;4 - Low 4;4 - Low 4;1 - Low 1
82;6 - High 2;1 - Low 1;4 - Low 4;6 - High 2;2 - Low 2
83;5 - High 1;4 - Low 4;4 - Low 4;4 - Low 4;7 - High 3
84;10 - SCATTER (Base);2 - Low 2;1 - Low 1;2 - Low 2;2 - Low 2
85;1 - Low 1;2 - Low 2;7 - High 3;8 - High 4;4 - Low 4
86;7 - High 3;1 - Low 1;6 - High 2;8 - High 4;4 - Low 4
87;4 - Low 4;1 - Low 1;2 - Low 2;1 - Low 1;1 - Low 1
88;2 - Low 2;3 - Low 3;2 - Low 2;1 - Low 1;4 - Low 4
89;2 - Low 2;2 - Low 2;5 - High 1;4 - Low 4;1 - Low 1
90;1 - Low 1;4 - Low 4;3 - Low 3;3 - Low 3;2 - Low 2
91;1 - Low 1;2 - Low 2;2 - Low 2;2 - Low 2;4 - Low 4
92;2 - Low 2;10 - SCATTER (Base);1 - Low 1;7 - High 3;7 - High 3
93;10 - SCATTER (Base);3 - Low 3;3 - Low 3;2 - Low 2;3 - Low 3
94;3 - Low 3;3 - Low 3;3 - Low 3;5 - High 1;8 - High 4
95;3 - Low 3;2 - Low 2;2 - Low 2;6 - High 2;3 - Low 3
96;2 - Low 2;4 - Low 4;4 - Low 4;4 - Low 4;7 - High 3
97;4 - Low 4;1 - Low 1;1 - Low 1;1 - Low 1;1 - Low 1
98;1 - Low 1;;3 - Low 3;;1 - Low 1
